,province_name,area_km2,population,country,population_density
0,Iceland,102775,364134,Iceland,3.543021163
1,Anhui,139700,59500510,China,425.9163207
2,Beijing,16800,19612368,China,1167.402857
3,Chongqing,82300,28846170,China,350.500243
4,Fujian,121580,36894216,China,303.4562922
5,Guangdong,180000,104303132,China,579.4618444
6,Gansu,454300,25575254,China,56.29595862
7,Guangxi,236000,46026629,China,195.028089
8,Guizhou,176000,34746468,China,197.4231136
9,Henan,167000,94023567,China,563.0153713
10,Hubei,185900,57237740,China,307.8953201
11,Hebei,187700,71854202,China,382.8140757
12,Hainan,34000,9171300,China,269.7441176
13,Hong Kong,1108,7061200,China,6372.924188
14,Heilongjiang,454000,38312224,China,84.38815859
15,Hunan,210000,65683722,China,312.7796286
16,Jilin,187400,27462297,China,146.5437407
17,Jiangsu,102600,78659903,China,766.6657212
18,Jiangxi,167000,44567475,China,266.8711078
19,Liaoning,145900,43746323,China,299.8377176
20,Macau,29,552300,China,19044.82759
21,Inner Mongolia,1183000,24706321,China,20.88446407
22,Ningxia,66400,6301350,China,94.8998494
23,Qinghai,721200,5626722,China,7.801888519
24,Sichuan,485000,80418200,China,165.8107216
25,Shandong,153800,95793065,China,622.841775
26,Shanghai,6341,23019148,China,3630.207854
27,Shaanxi,205600,37327378,China,181.5533949
28,Shanxi,156300,35712111,China,228.4843954
29,Tianjin,11305,12938224,China,1144.469173
30,Taiwan,36161,23162123,China,640.5277232
31,Xinjiang,1660400,21813334,China,13.13739701
32,Tibet,1228400,3002166,China,2.443964507
33,Yunnan,394000,45966239,China,116.6655812
34,Zhejiang,102000,54426891,China,533.5969706
35,Baden-Wurttemberg,35752,11069533,Germany,309.6199653
36,Bayern,70552,13076721,Germany,185.3486932
37,Berlin,892,3644826,Germany,4086.127803
38,Brandenburg,29479,2511917,Germany,85.21038706
39,Bremen,419,682986,Germany,1630.038186
40,Hamburg,755,1841179,Germany,2438.647682
41,Hessen,21115,6265809,Germany,296.7468151
42,Lower Saxony,47609,7982448,Germany,167.6667857
43,Mecklenburg-Vorpommern,23180,1609675,Germany,69.44240725
44,Nordrhein-Westfalen,34085,17932651,Germany,526.1156227
45,Rheinland-Pfalz,19853,4084844,Germany,205.7544955
46,Saarland,2569,990509,Germany,385.5620864
47,Sachsen,18416,4077937,Germany,221.4344592
48,Sachsen-Anhalt,20446,2208321,Germany,108.0074831
49,Schleswig-Holstein,15799,2896712,Germany,183.3478068
50,Thuringen,16172,2143145,Germany,132.5219515
51,Abruzzo,10796,1311580,Italy,121.487588
52,Aosta Valley,3261,125666,Italy,38.53603189
53,Puglia,19359,4029053,Italy,208.1229919
54,Basilicata,9996,562869,Italy,56.30942377
55,Calabria,15081,1947131,Italy,129.1115311
56,Campania,13592,5801692,Italy,426.8460859
57,Emilia-Romagna,22450,4459477,Italy,198.6404009
58,Friuli-Venezia Giulia,7712,1215220,Italy,157.5752075
59,Lazio,17209,5879082,Italy,341.628334
60,Liguria,5421,1550640,Italy,286.0431655
61,Lombardia,23856,10060574,Italy,421.7209088
62,Marche,9389,1525271,Italy,162.4529769
63,Molise,4438,305617,Italy,68.86367733
64,Piemonte,25397,4356397,Italy,171.5319526
65,Sardegna,24298,1639591,Italy,67.47843444
66,Sicilia,25712,4999891,Italy,194.4574907
67,P.A. Trento,13603,1072276,Italy,78.82643535
68,Toscana,22988,3729641,Italy,162.2429528
69,Umbria,8454,882015,Italy,104.3310859
70,Veneto,18390,4905854,Italy,266.7674823
71,Andalusia,87268,8414240,Spain,96.41838933
81,Aragon,47719,1319291,Spain,27.64707978
84,Asturias,10604,1022800,Spain,96.45416824
83,Baleares,4992,1149460,Spain,230.2604167
77,Basque,7234,2207776,Spain,305.19436
79,Canary Islands,7447,2153389,Spain,289.1619444
86,Cantabria,5321,581078,Spain,109.2046608
76,Castilla y Leon,94223,2399548,Spain,25.46669072
78,Castilla -La Mancha,79463,2032863,Spain,25.5825101
72,Catalonia,32114,7675217,Spain,238.999097
89,Ceuta,84777,4583,Spain,0.054059474
82,Extremadura,41634,1067710,Spain,25.64514579
75,Galicia,29574,2699499,Spain,91.27946845
87,La Rioja,5045,316798,Spain,62.79444995
73,Madrid,8028,6663394,Spain,830.0191829
88,Melilla,123,86487,Spain,703.1463415
80,Murcia,11313,1493898,Spain,132.0514452
85,Navarra,10391,654214,Spain,62.95967664
74,Valencia,23255,5003769,Spain,215.1695979
96,Australian Capital Territory,2358,426709,Australia,180.9622561
98,Jervis Bay Territory,67,405,Australia,6.044776119
90,New South Wales,809952,8089526,Australia,9.987660997
97,Northern Territory,1419630,245869,Australia,0.173192311
92,Queensland,1851736,5095100,Australia,2.751526135
94,South Australia,1044353,1751693,Australia,1.677299725
95,Tasmania,90758,534281,Australia,5.886874986
91,Victoria,237657,6594804,Australia,27.74925207
93,Western Australia,2642753,2621680,Australia,0.992026118
